,Jugador,Min/90,Goles de penalti,Penaltis lanzados,Conducción progresiva,Pases profundos,Pases profundos recibidos,Goles/90,Asistencias/90,Creación de pel. acaba en gol
359,Omenuke Mfulu,0.9,0,0,1,1,0,0.00,0.00,0.00
360,Miguel,0.7,0,0,1,0,3,0.00,0.00,0.00
361,Éder Militão,5.5,0,0,7,15,2,0.00,0.00,0.00
362,Luis Milla,23.5,0,0,31,121,35,0.00,0.04,0.04
363,Marko Milovanović,3.4,0,0,2,3,13,0.29,0.00,0.29
364,Óscar Mingueza,33.3,0,0,74,170,134,0.06,0.06,0.12
365,Ignasi Miquel,33.2,0,0,8,83,8,0.03,0.03,0.06
366,Rafa Mir,4.3,0,0,3,2,16,0.46,0.00,0.46
367,Juan Miranda,20.6,0,0,35,103,95,0.05,0.05,0.10
368,Stefan Mitrović,7.8,0,0,4,19,2,0.13,0.00,0.13
