,Jugador,Posición,% Regates completados
550,Aurélien Tchouaméni,"MF,DF",46.2
551,Nahuel Tenaglia,DF,50.0
552,Marc-André ter Stegen,GK,0
553,Ramón Terrats,"MF,DF",44.0
554,Kieran Tierney,DF,41.2
555,Raúl de Tomás,FW,45.5
556,Pablo Torre,"MF,FW",31.6
557,Raúl Torrente,DF,0.0
558,Ferrán Torres,FW,41.7
559,Óliver Torres,MF,45.8
560,Lucas Torró,MF,75.0
561,Bertrand Traoré,MF,29.6
562,Hamari Traoré,DF,59.3
563,Óscar Trejo,"FW,MF",38.8
564,Manu Trigueros,MF,0.0
565,Viktor Tsyhankov,"MF,FW",41.5
566,Beñat Turrientes,MF,48.8
567,Enes Ünal,"FW,MF",50.0
568,Myrto Uzuni,FW,48.1
569,Óscar Valentín,MF,53.8
570,Martin Valjent,DF,33.3
571,Jesús Vallejo,DF,100.0
572,Álvaro Vallés,GK,100.0
573,Federico Valverde,MF,50.0
574,Siebe Van Der Heyden,DF,0
575,José Luis García Vayá,MF,46.2
576,Borja Vázquez,FW,0
577,Jesus Vazquez,"DF,MF",30.0
578,Kevin Vázquez,DF,33.3
579,Lucas Vázquez,DF,51.1
580,Gabriel Veiga,FW,0.0
581,Alejo Véliz,FW,0
582,Arthur Vermeeren,MF,0.0
583,Mikel Vesga,MF,16.7
584,Carlos Vicente,FW,38.5
585,Nacho Vidal,"DF,FW",50.0
586,Nacho Vidal,DF,16.7
587,Fran Vieites,GK,0
588,Jonathan Viera,"MF,FW",45.5
589,Jonathan Viera,MF,47.4
590,Toni Villa,FW,0.0
591,Asier Villalibre,FW,36.4
592,Gonzalo Villar,MF,52.3
593,Iván Villar,GK,0
594,Ricardo Visus,DF,0
595,Daniel Vivian,DF,50.0
596,Shon Weissman,FW,50.0
597,Iñaki Williams,FW,40.8
598,Nico Williams,FW,44.6
599,Axel Witsel,DF,62.5
600,Xeber,"FW,MF",42.9
601,Antal Yaakobishvili,DF,0
602,Lamine Yamal,FW,43.8
603,Roman Yaremchuk,FW,35.7
604,Arsen Zakharyan,"MF,FW",34.5
605,Joseba Zaldúa,DF,40.0
606,Bryan Zaragoza,"MF,FW",41.1
607,Igor Zubeldia,DF,50.0
608,Martín Zubimendi,MF,66.7
