,Jugador,Goles,% Disparos a puerta,Total de tiros/90,Disparos a puerta/90,Goles/tiros,Goles/tiros a puerta,Distancia media de los tiros
172,André Ferreira,0,0,0.00,0.00,0,0,0
173,Rachad Fettal,0,0.0,5.29,0.00,0.00,0,8.8
174,Pablo Fornals,3,29.4,1.33,0.39,0.18,0.60,18.2
175,Héctor Fort,0,0.0,0.28,0.00,0.00,0,27.2
176,Dimitri Foulquier,0,14.3,0.34,0.05,0.00,0.00,16.9
177,Juan Foyth,1,33.3,0.51,0.17,0.17,0.50,12.8
178,Jorge de Frutos,2,37.9,1.68,0.64,0.07,0.18,17.8
179,Daniel Fuzato,0,0,0.00,0.00,0,0,0
180,Matteo Gabbia,0,0,0.00,0.00,0,0,0
181,Javi Galán,0,0,0.00,0.00,0,0,0
