,Jugador,Posición,PPP del eq. cuando jugaba,Goles a favor (+) o en contra(-) del eq. cuando jugaba
409,Unai Marrero,GK,0.50,-0.63
410,Roger Martí,FW,0.96,-0.26
411,Iván Martín,MF,2.25,+1.19
412,Jon Martin,DF,3.00,0.00
413,Mario Martín,MF,2.00,0.00
414,Arnau Martinez,DF,2.33,+0.87
415,Iñigo Martínez,DF,2.45,+1.11
416,Javi Martínez,MF,0,0
417,Marc Martínez,GK,0.00,-3.00
418,Javi Martón,FW,0,0
419,Marvin,"FW,DF",1.19,-0.49
420,Omar Mascarell,MF,1.07,-0.63
421,Pau Mascaró,FW,0,0
422,Jaime Mata,"FW,MF",1.23,-0.25
423,Luís Maximiano,GK,0.52,-0.94
424,Borja Mayoral,FW,1.30,0.00
425,Mamadou Mbaye,DF,0.75,-0.94
426,Djordjije Medenica,GK,0,0
427,Hannibal Mejbri,MF,1.67,0.00
428,Óscar Melendo,"MF,FW",0.31,-0.88
429,Gonzalo Melero,"MF,FW",0.64,-0.82
430,Memphis,FW,1.74,+0.20
431,Houboulang Mendes,DF,0.00,-1.59
432,Tomás Mendes,MF,0.00,0.00
433,Brais Méndez,"MF,FW",1.59,+0.19
434,Bruno Méndez,DF,0.65,-0.68
435,Diego Méndez,MF,3.00,0.00
436,Ferland Mendy,DF,2.43,+1.83
437,Nobel Mendy,DF,0,0
438,Jorge Meré,DF,0.80,-0.80
439,Mikel Merino,MF,1.75,+0.69
440,Sergio Mestre,GK,0,0
441,Omenuke Mfulu,"MF,FW",0.83,-2.20
442,Miguel,"FW,MF",1.00,-2.77
443,Miguelito,DF,0,0
444,Éder Militão,DF,2.60,+2.72
445,Luis Milla,MF,1.07,-0.43
446,Marko Milovanović,"FW,MF",0.55,-1.17
447,Óscar Mingueza,"DF,MF",1.08,-0.21
448,Ignasi Miquel,DF,0.59,-1.05
449,Rafa Mir,"FW,MF",0.93,+0.23
450,Juan Miranda,DF,1.52,+0.10
451,Stefan Mitrović,DF,1.18,-0.26
452,Luka Modrić,MF,2.41,+1.44
453,Johan Mojica,DF,1.17,-0.40
454,Horaţiu Moldovan,GK,0,0
455,Alberto Moleiro,"FW,MF",1.04,-0.25
456,Nahuel Molina,DF,1.90,+0.87
457,Jon Moncayola,MF,1.21,-0.30
458,Eric Monjonell,DF,0,0
459,Rubén Montero,GK,0,0
460,César Montes,DF,0.57,-1.16
461,Gonzalo Montiel,DF,0,0
462,Alejandro Morata,DF,0,0
463,Álvaro Morata,FW,1.91,+0.71
464,Alberto Moreno,DF,1.48,+0.67
465,Gerard Moreno,FW,1.30,-0.24
466,Jorge Moreno,DF,1.00,-6.00
467,Jorge Moreno,DF,0,0
468,Marco Moreno,DF,0,0
469,Ilaix Moriba,"MF,FW",0.93,-0.74
470,Manu Morlanes,MF,1.11,-0.45
471,Morro,GK,0,0
472,Cristhian Mosquera,DF,1.19,-0.12
473,Yerson Mosquera,DF,2.00,+1.03
474,Abdul Mumin,DF,1.00,-0.53
475,Iker Muniain,"MF,FW",1.80,-0.30
476,Aihen Muñoz,DF,1.67,+0.64
477,Álvaro Muñoz,FW,3.00,0.00
478,Egoitz Muñoz,DF,0,0
479,Iker Muñoz,MF,1.32,+0.10
480,Javier Muñoz,MF,1.05,-0.34
481,Pablo Muñoz,MF,0,0
482,Vedat Muriqi,FW,1.00,-0.35
483,Nacho,DF,2.41,+1.70
484,Matija Nastasić,DF,1.00,-0.28
485,Roberto Navarro,MF,0,0
486,Roberto Navarro,"MF,FW",0.79,-1.00
487,Jesús Navas,DF,1.14,-0.09
488,Álvaro Negredo,"FW,MF",0.43,-3.33
489,Carlos Neva,DF,0.56,-0.92
490,Mikayil Ngor Faye,MF,0,0
491,Tanguy Nianzou,DF,0.88,-1.70
492,Saúl Ñíguez,MF,2.06,+0.98
493,Adrian Niño,FW,0,0
494,Aristide Njalla,MF,0,0
495,Peru Nolaskoain,"DF,MF",2.00,0.00
496,Randy Nteka,"FW,MF",0.94,-1.26
497,Unai Núñez,DF,0.97,-0.42
498,Ørjan Nyland,GK,1.38,+0.25
499,Jan Oblak,GK,2.00,+0.71
500,Brian Ocampo,"MF,FW",0.69,-1.45
501,Lucas Ocampos,"FW,MF",0.97,-0.16
502,Álvaro Odriozola,DF,1.33,+0.23
503,Álvaro Odriozola,DF,0,0
504,Aingeru Olabarrieta,FW,3.00,0.00
505,Olasagasti,MF,1.21,-0.50
506,Samuel Omorodion,FW,1.15,-0.61
507,Samuel Omorodion,FW,0.00,-1.13
508,Aimar Oroz,MF,1.36,-0.19
509,Eneko Ortiz,DF,1.00,0.00
510,Asier Osambela,MF,0.00,-10.00
511,Milutin Osmajić,MF,0.00,-18.00
512,David Otorbi,FW,0,0
513,Aiham Ousou,DF,1.17,-1.05
514,Jesús Owono,GK,1.25,-1.00
515,Mikel Oyarzabal,"FW,MF",1.64,+0.38
516,Cenk Özkacar,DF,1.09,-0.56
517,Jon Pacheco,DF,1.70,+0.18
518,Gonçalo Paciência,FW,0,0
519,Alex Padilla,GK,0,0
520,Isaac Palazón Camacho,"MF,FW",1.03,-0.16
521,Joaquín Panichelli,"FW,MF",1.00,-0.40
522,Sokratis Papastathopoulos,DF,1.33,-0.16
523,Victor Parada,"FW,MF",3.00,0.00
524,Aitor Paredes,DF,1.76,+0.67
525,Daniel Parejo,MF,1.42,-0.24
526,Pascu,FW,0.00,+12.86
527,Martín Pascual,DF,0,0
528,Gabriel Paulista,DF,0.80,-0.67
529,Gabriel Paulista,DF,1.50,-0.13
530,Nicolás Paz,"MF,FW",2.50,0.00
531,Alfonso Pedraza,DF,1.00,-0.81
532,Pedri,"MF,FW",2.08,+0.73
533,Adrià Pedrosa,DF,1.03,-0.31
534,Facundo Pellistri,"MF,FW",0.60,-1.24
535,Iñaki Peña,GK,2.00,+0.40
536,Marcos Peña,MF,0.86,-0.61
537,Rubén Peña,"DF,FW",1.34,-0.30
538,Alberto Perea,"MF,FW",1.50,0.00
539,Ayoze Pérez,FW,1.45,0.00
540,Carles Pérez,"MF,DF",1.38,+0.12
541,Francisco Perez,"MF,FW",1.47,+0.35
542,Kike Pérez,"MF,FW",0.92,-0.86
543,Máximo Perrone,MF,1.21,-0.55
544,Njegoš Petrović,"MF,FW",0.60,-1.72
545,Germán Pezzella,DF,1.63,+0.33
546,Kamil Piątkowski,DF,0.56,-2.14
547,Diego Piñeiro,GK,0,0
548,Yeremi Pino,"MF,FW",0.71,-0.38
549,Xavi Pleguezuelo,DF,0,0
550,Portu,FW,1.33,0.00
551,Portu,"MF,FW",2.12,+1.52
552,José Pozo,MF,1.00,0.00
553,Alejandro Pozo Pozo,"DF,MF",0.43,-1.48
554,Beñat Prados,"MF,DF",1.65,+0.68
555,Abdón Prats,"FW,MF",1.03,+0.07
556,Pau Prim,MF,0,0
557,Pubill,DF,0.70,-0.48
558,Antonio Puertas,"MF,FW",0.39,-1.11
559,Arnau Puigmal,"FW,DF",0.27,0.00
560,Edgar Pujol,DF,0,0
561,Alex Quevedo,GK,0,0
562,Rubén Quintanilla,MF,0,0
563,Nemanja Radonjić,"MF,DF",1.18,+0.76
564,Aleksandar Radovanović,DF,1.22,0.00
565,Rafa,GK,0,0
